Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /Users/Jerry/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 15:08:56.364695: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 137 Default Step Loss 0.149470, Argument Step Loss 1.243064, Term: 0.986842, Prog: 0.671053, A0: 0.677419, A1: 0.806452, A2: 1.0
Epoch 01 Step 138 Default Step Loss 0.154134, Argument Step Loss 1.236252, Term: 0.988095, Prog: 0.690476, A0: 0.705882, A1: 0.764706, A2: 1.0
Epoch 01 Step 139 Default Step Loss 0.146606, Argument Step Loss 1.231323, Term: 0.986842, Prog: 0.657895, A0: 0.677419, A1: 0.790323, A2: 1.0
Epoch 01 Step 140 Default Step Loss 0.210564, Argument Step Loss 1.231679, Term: 0.987500, Prog: 0.650000, A0: 0.692308, A1: 0.784615, A2: 1.0
Epoch 01 Step 141 Default Step Loss 0.177492, Argument Step Loss 1.243636, Term: 0.988636, Prog: 0.670455, A0: 0.718310, A1: 0.774648, A2: 1.0
Epoch 01 Step 142 Default Step Loss 0.177157, Argument Step Loss 1.234908, Term: 0.988095, Prog: 0.642857, A0: 0.705882, A1: 0.779412, A2: 1.0
Epoch 01 Step 143 Default Step Loss 0.179154, Argument Step Loss 1.226249, Term: 0.986111, Prog: 0.652778, A0: 0.661017, A1: 0.779661, A2: 1.0
Epoch 01 Step 144 Default Step Loss 0.138961, Argument Step Loss 1.191662, Term: 0.984375, Prog: 0.671875, A0: 0.622642, A1: 0.830189, A2: 1.0
Epoch 01 Step 145 Default Step Loss 0.176144, Argument Step Loss 1.228538, Term: 0.987500, Prog: 0.675000, A0: 0.692308, A1: 0.800000, A2: 1.0
Epoch 01 Step 146 Default Step Loss 0.145364, Argument Step Loss 1.224326, Term: 0.986111, Prog: 0.652778, A0: 0.661017, A1: 0.779661, A2: 1.0
Epoch 01 Step 147 Default Step Loss 0.209840, Argument Step Loss 1.247815, Term: 0.988095, Prog: 0.654762, A0: 0.705882, A1: 0.779412, A2: 1.0
Epoch 01 Step 148 Default Step Loss 0.178270, Argument Step Loss 1.225931, Term: 0.986111, Prog: 0.666667, A0: 0.661017, A1: 0.796610, A2: 1.0
Epoch 01 Step 149 Default Step Loss 0.177218, Argument Step Loss 1.223548, Term: 0.986111, Prog: 0.666667, A0: 0.661017, A1: 0.796610, A2: 1.0
Epoch 01 Step 150 Default Step Loss 0.209647, Argument Step Loss 1.213367, Term: 0.988636, Prog: 0.670455, A0: 0.718310, A1: 0.760563, A2: 1.0
