Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 03:50:27.693340: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 235 Term Loss -0.173285, Default Loss -79.137428, Reward 0.900000
Epoch 01 Step 236 Term Loss -0.171841, Default Loss -79.137543, Reward -13.000000
Epoch 01 Step 237 Term Loss -0.171063, Default Loss -79.137299, Reward -13.000000
Epoch 01 Step 238 Term Loss -0.170887, Default Loss -79.137070, Reward -13.000000
Epoch 01 Step 239 Term Loss -0.171248, Default Loss -79.137138, Reward -13.000000
Epoch 01 Step 240 Term Loss -0.172097, Default Loss -79.137283, Reward -13.000000
Epoch 01 Step 241 Term Loss -0.173175, Default Loss -79.137238, Reward 0.900000
Epoch 01 Step 242 Term Loss -0.172534, Default Loss -79.137215, Reward 0.900000
Epoch 01 Step 243 Term Loss -0.172486, Default Loss -79.137215, Reward 0.900000
Epoch 01 Step 244 Term Loss -0.172970, Default Loss -79.137230, Reward 0.900000
Epoch 01 Step 245 Term Loss -0.172638, Default Loss -79.137245, Reward -13.000000
Epoch 01 Step 246 Term Loss -0.172300, Default Loss -79.137062, Reward -13.000000
Epoch 01 Step 247 Term Loss -0.172524, Default Loss -79.136917, Reward -13.000000
Epoch 01 Step 248 Term Loss -0.173258, Default Loss -79.136971, Reward -13.000000
Epoch 01 Step 249 Term Loss -0.172129, Default Loss -79.137047, Reward 0.900000
Epoch 01 Step 250 Term Loss -0.171588, Default Loss -79.137192, Reward 0.900000
Epoch 01 Step 251 Term Loss -0.171624, Default Loss -79.137405, Reward 0.900000
Epoch 01 Step 252 Term Loss -0.172180, Default Loss -79.137672, Reward 0.900000
Epoch 01 Step 253 Term Loss -0.173210, Default Loss -79.138023, Reward 0.900000
Epoch 01 Step 254 Term Loss -0.171912, Default Loss -79.138466, Reward -13.000000
Epoch 01 Step 255 Term Loss -0.171129, Default Loss -79.137726, Reward -13.000000
Epoch 01 Step 256 Term Loss -0.170944, Default Loss -79.136894, Reward -13.000000
Epoch 01 Step 257 Term Loss -0.171296, Default Loss -79.136909, Reward -13.000000
Epoch 01 Step 258 Term Loss -0.172136, Default Loss -79.137489, Reward -13.000000
Epoch 01 Step 259 Term Loss -0.173144, Default Loss -79.137665, Reward 0.900000
Epoch 01 Step 260 Term Loss -0.172510, Default Loss -79.137932, Reward 0.900000
Epoch 01 Step 261 Term Loss -0.172468, Default Loss -79.138268, Reward 0.900000
Epoch 01 Step 262 Term Loss -0.172955, Default Loss -79.138710, Reward 0.900000
Epoch 01 Step 263 Term Loss -0.172652, Default Loss -79.139282, Reward -13.000000
Epoch 01 Step 264 Term Loss -0.172317, Default Loss -79.138153, Reward -13.000000
Epoch 01 Step 265 Term Loss -0.172546, Default Loss -79.136879, Reward -13.000000
Epoch 01 Step 266 Term Loss -0.173277, Default Loss -79.136772, Reward -13.000000
Epoch 01 Step 267 Term Loss -0.172108, Default Loss -79.137566, Reward 0.900000
Epoch 01 Step 268 Term Loss -0.171567, Default Loss -79.138985, Reward 0.900000
Epoch 01 Step 269 Term Loss -0.171599, Default Loss -79.140999, Reward 0.900000
Epoch 01 Step 270 Term Loss -0.172153, Default Loss -79.143562, Reward 0.900000
Epoch 01 Step 271 Term Loss -0.173174, Default Loss -79.146744, Reward 0.900000
Epoch 01 Step 272 Term Loss -0.171956, Default Loss -79.150650, Reward -13.000000
Epoch 01 Step 273 Term Loss -0.171166, Default Loss -79.146477, Reward -13.000000
Epoch 01 Step 274 Term Loss -0.170970, Default Loss -79.140045, Reward -13.000000
Epoch 01 Step 275 Term Loss -0.171305, Default Loss -79.136909, Reward -13.000000
Epoch 01 Step 276 Term Loss -0.172127, Default Loss -79.138397, Reward -13.000000
Epoch 01 Step 277 Term Loss -0.173174, Default Loss -79.141632, Reward 0.900000
Epoch 01 Step 278 Term Loss -0.172558, Default Loss -79.146599, Reward 0.900000
